"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2013","2013",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2014","2014",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2015","2015",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2016","2016",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2017","2017",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2012","2012",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2015","2015",86,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2017","2017",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2010","2010",97,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2011","2011",96,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2012","2012",96,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2013","2013",96,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2014","2014",95,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2015","2015",95,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2016","2016",95,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISL","Iceland","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISL","Iceland","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISL","Iceland","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISL","Iceland","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISL","Iceland","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISL","Iceland","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISL","Iceland","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISL","Iceland","2017","2017",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","IRL","Ireland","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","IRL","Ireland","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","IRL","Ireland","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","IRL","Ireland","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","IRL","Ireland","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","IRL","Ireland","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","IRL","Ireland","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","IRL","Ireland","2017","2017",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ITA","Italy","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ITA","Italy","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ITA","Italy","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ITA","Italy","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ITA","Italy","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ITA","Italy","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ITA","Italy","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","JPN","Japan","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","JPN","Japan","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","JPN","Japan","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","JPN","Japan","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","JPN","Japan","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","JPN","Japan","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","KOR","Korea","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","KOR","Korea","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","KOR","Korea","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","KOR","Korea","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","KOR","Korea","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","KOR","Korea","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","KOR","Korea","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","MEX","Mexico","2010","2010",82.4,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","MEX","Mexico","2011","2011",89.2,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","MEX","Mexico","2012","2012",89.6,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","MEX","Mexico","2013","2013",91.6,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","MEX","Mexico","2014","2014",92.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","MEX","Mexico","2015","2015",92.3,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","MEX","Mexico","2016","2016",90.2,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NLD","Netherlands","2010","2010",99.6,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NLD","Netherlands","2011","2011",99.6,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NLD","Netherlands","2012","2012",99.7,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NLD","Netherlands","2013","2013",99.8,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NLD","Netherlands","2014","2014",99.8,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NLD","Netherlands","2015","2015",99.8,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NLD","Netherlands","2016","2016",99.9,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NZL","New Zealand","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NZL","New Zealand","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NZL","New Zealand","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NZL","New Zealand","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NZL","New Zealand","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NZL","New Zealand","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NZL","New Zealand","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NZL","New Zealand","2017","2017",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NOR","Norway","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NOR","Norway","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NOR","Norway","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NOR","Norway","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NOR","Norway","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NOR","Norway","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NOR","Norway","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","NOR","Norway","2017","2017",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","POL","Poland","2010","2010",97.5,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","POL","Poland","2011","2011",96.6,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","POL","Poland","2012","2012",91,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","POL","Poland","2013","2013",91.6,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","POL","Poland","2014","2014",91.3,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","POL","Poland","2015","2015",91,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","POL","Poland","2016","2016",91.5,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","PRT","Portugal","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","PRT","Portugal","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","PRT","Portugal","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","PRT","Portugal","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","PRT","Portugal","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","PRT","Portugal","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","PRT","Portugal","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVK","Slovak Republic","2010","2010",94.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVK","Slovak Republic","2011","2011",95.2,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVK","Slovak Republic","2012","2012",95,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVK","Slovak Republic","2013","2013",94.6,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVK","Slovak Republic","2014","2014",94.2,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVK","Slovak Republic","2015","2015",93.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVK","Slovak Republic","2016","2016",94.5,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ESP","Spain","2011","2011",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ESP","Spain","2014","2014",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ESP","Spain","2017","2017",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SWE","Sweden","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SWE","Sweden","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SWE","Sweden","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SWE","Sweden","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SWE","Sweden","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SWE","Sweden","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SWE","Sweden","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHE","Switzerland","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHE","Switzerland","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHE","Switzerland","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHE","Switzerland","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHE","Switzerland","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHE","Switzerland","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHE","Switzerland","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","TUR","Turkey","2010","2010",96.2,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","TUR","Turkey","2011","2011",97.6,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","TUR","Turkey","2012","2012",98.2,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","TUR","Turkey","2013","2013",98,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","TUR","Turkey","2014","2014",98.4,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","TUR","Turkey","2015","2015",98.4,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","TUR","Turkey","2016","2016",98.2,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","TUR","Turkey","2017","2017",99.2,"P","Provisional value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GBR","United Kingdom","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GBR","United Kingdom","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GBR","United Kingdom","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GBR","United Kingdom","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GBR","United Kingdom","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GBR","United Kingdom","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GBR","United Kingdom","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","USA","United States","2010","2010",84,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","USA","United States","2011","2011",84.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","USA","United States","2012","2012",85.3,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","USA","United States","2013","2013",85.5,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","USA","United States","2014","2014",88.5,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","USA","United States","2015","2015",90.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","USA","United States","2016","2016",91.2,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","USA","United States","2017","2017",90.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHL","Chile","2010","2010",90.7,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHL","Chile","2011","2011",93,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHL","Chile","2012","2012",93.7,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHL","Chile","2013","2013",94,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHL","Chile","2014","2014",93.7,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHL","Chile","2015","2015",92.1,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHL","Chile","2016","2016",93.1,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CHL","Chile","2017","2017",93.4,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","EST","Estonia","2010","2010",94.5,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","EST","Estonia","2011","2011",94,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","EST","Estonia","2012","2012",93.7,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","EST","Estonia","2013","2013",93.6,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","EST","Estonia","2014","2014",93.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","EST","Estonia","2015","2015",94,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","EST","Estonia","2016","2016",94,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","EST","Estonia","2017","2017",94.1,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISR","Israel","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISR","Israel","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISR","Israel","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISR","Israel","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISR","Israel","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISR","Israel","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISR","Israel","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISR","Israel","2017","2017",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVN","Slovenia","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVN","Slovenia","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVN","Slovenia","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVN","Slovenia","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVN","Slovenia","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVN","Slovenia","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","SVN","Slovenia","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2010","2010",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2011","2011",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2012","2012",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2013","2013",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2014","2014",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2015","2015",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2016","2016",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2017","2017",100,"E","Estimated value"
"COVGCMED","Total health care","EFFPEREF","Thousands of persons","AUS","Australia","2010","2010",22032,"E","Estimated value"
"COVGCMED","Total health care","EFFPEREF","Thousands of persons","AUS","Australia","2011","2011",22340,"E","Estimated value"
"COVGCMED","Total health care","EFFPEREF","Thousands of persons","AUS","Australia","2012","2012",22742,"E","Estimated value"
"COVGCMED","Total health care","EFFPEREF","Thousands of persons","AUS","Australia","2013","2013",23146,"E","Estimated value"
